year,linked_papers,retained_papers,retention,name_keys,id_keys,papers_per_name,papers_per_id,mean_team_size
2010,12615,10724,0.8500990883868411,15051,12741,0.712510796624809,0.8416921748685346,1.7931741887355463
2011,14111,12024,0.8521011976472256,17125,14781,0.7021313868613138,0.8134767607063121,1.8343313373253494
2012,15611,13159,0.8429312664147076,19079,16364,0.6897112007966875,0.8041432412613053,1.8737746029333535
2013,17049,14493,0.8500791835298258,21338,18346,0.6792107976380167,0.789981467349831,1.898916718415787
2014,18170,15392,0.8471106219042378,23320,19898,0.6600343053173242,0.7735450799075284,1.944191787941788
2015,19565,16507,0.8437004855609507,25292,21575,0.6526569666297644,0.765098493626883,1.9545647301144968
2016,20352,17224,0.8463050314465409,26922,23104,0.6397741623950672,0.7454986149584487,1.9853692522062238
2017,21632,18301,0.8460151627218935,28893,24943,0.633406015297823,0.7337128653329591,2.015627561335446
2018,22714,18983,0.8357400722021661,30446,26394,0.6234973395519937,0.719216488595893,2.0499394194805878
2019,23681,20305,0.8574384527680419,33158,28819,0.6123710718378672,0.7045699018008953,2.09056882541246
2020,26164,23462,0.8967283290016816,39162,34406,0.599101169501047,0.6819159448933325,2.1831472167760633
2021,24798,23620,0.9524961690458909,38959,34979,0.6062783952360173,0.6752623002372852,2.183276883996613
2022,25272,24459,0.9678300094966762,37586,36705,0.6507476187942319,0.6663669799754802,2.185739400629625
2023,26257,25482,0.9704840613931524,39125,38592,0.6512971246006389,0.6602922885572139,2.197472725845695
2024,25390,24157,0.9514375738479717,41471,40763,0.5825034361360951,0.5926207590216618,2.2613735149232106
2025,25577,21719,0.8491613559056965,38019,37291,0.5712669980799074,0.5824193505135288,2.220452138680418
