period,framePapers,papers,contributors,papersPerContributor,authorships,fullCountPerContributor,meanTeamSize,matchedPaperShare,completePaperShare
2023-08,3818,3818,,,,,,,
2023-09,3916,3916,,,,,,,
2023-10,4493,4493,,,,,,,
2023-11,4143,4143,,,,,,,
2023-12,4027,4027,,,,,,,
2024-01,4402,4402,,,,,,,
2024-02,4334,4334,,,,,,,
2024-03,4429,4429,,,,,,,
2024-04,4342,4342,,,,,,,
2024-05,4614,4614,,,,,,,
2024-06,3893,3893,,,,,,,
2024-07,4538,4538,,,,,,,
2024-08,3676,3676,,,,,,,
2024-09,4310,4310,,,,,,,
2024-10,4831,4831,,,,,,,
2024-11,4229,4229,,,,,,,
2024-12,4483,4483,,,,,,,
2025-01,4347,4347,,,,,,,
2025-02,4069,4069,,,,,,,
2025-03,4563,4563,,,,,,,
2025-04,4496,4496,,,,,,,
2025-05,4508,4508,,,,,,,
2025-06,4410,4410,,,,,,,
2025-07,4719,4719,,,,,,,
2025-08,4194,4194,,,,,,,
2025-09,5142,5142,,,,,,,
2025-10,5427,5427,,,,,,,
2025-11,4699,4699,,,,,,,
2025-12,5177,5177,,,,,,,
2026-01,4741,4741,,,,,,,
2026-02,4687,4687,,,,,,,
2026-03,5777,5777,,,,,,,
2026-04,5439,5439,,,,,,,
2026-05,5930,5930,,,,,,,
2026-06,6453,6453,,,,,,,
2026-07,6771,6771,,,,,,,
